ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
SRM21,"Conducción Flores al Tirol (6"") Llegando",,5,2022,AM,"1,061,731.00","1,215,797.00",68.2, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,5,2022,AM,"1,209,439.00","1,283,123.00",27.73, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,5,2022,AM,"1,046,439.00","1,113,695.00",27.46, MA 
,Mata Plátano,,5,2022,AM,"8,597.04","37,106.00",9.67,
SPM01,"Pozo Miraflores        ( 8"" )",,6,2022,PM,"2,973,699.00","2,999,805.00", FOP , MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,6,2022,PM,"4,761,983.00","4,884,444.00",49.5, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",,6,2022,PM,"4,292.00","4,293.00", FOP , MA 
HM07,Pozo Real Santamaría,,6,2022,PM,"16,006,492.00","16,188,346.00",72.71, MA 
HM17,"Pozo Trebol (8"")",,6,2022,PM,"3,468,237.00","3,641,865.00",68.5, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,6,2022,PM,"752,434.73","787,954.21", FOP , MA 
HM12,"Pozo Granada ( 10"" )",,6,2022,PM,"3,561,170.00","3,646,535.00",34, MA 
HM21,"Pozo Aurora II  ( 4"" )",,6,2022,PM,"156,460.00","156,663.30", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",,6,2022,PM,"135,775.73","135,775.73", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,6,2022,PM,"301,004.63","415,930.45",49.06, MA 
HM22,Medidor para venta de agua Malinches,,6,2022,PM,960.67,960.67, FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",Macromedidor en mal estado,6,2022,PM,,"140,467.00",81.49, M2 
HM06,"Pozo San Vicente        ( 10"" )",,6,2022,PM,"7,384,403.00","7,514,750.00",52.86, MA 
HM18,"Pozo Claretiano         ( 10"" )",,6,2022,AM,"5,277,803.00","5,397,256.00",47.5, MA 
HM19,"Pozo Boruca (8"")",,6,2022,AM,"36,755.04","95,408.60",23.52, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,6,2022,AM,"1,170,505.50","1,171,998.00", FOP , MA 
SRM28,"Pozo Los Altos I  ( 4"" )",,6,2022,AM,"302,493.00","302,506.00", FOP , MA 
SRM37,Pozo Los Altos II ,,6,2022,AM,"1,753,953.60","1,765,537.30", FOP , MA 
SRM32,"Pozo Matasanos      ( 4"" )",,6,2022,AM,"443,321.00","443,365.00", FOP , MA 
SRM26,Pozo Joya 1,,6,2022,AM,"503,616.47","504,250.92", FOP , MA 
SRM33,Pozo Joya 2,,6,2022,AM,"3,311,807.10","3,315,386.90", FOP , MA 
HM13,"Pozo Joya 3 (8"")",,6,2022,PM,"2,333,977.00","2,348,345.00", FOP , MA 
SRM30,"Pozo Santiago ( 8"" )",,6,2022,AM,"1,517,858.00","1,535,442.00", FOP , MA 
SRM25,"Pozo Burial       ( 6"" )",,6,2022,AM,"1,527,325.00","1,540,507.00", FOP , MA 
SRM12,"Pozo Highland Ranch (3"")",,6,2022,AM,"597,744.00","607,532.00",30.55, MA 
SIM04,Pozo Santa Cruz I        ,,6,2022,AM,"1,624,457.40","1,631,622.00", FOP , MA 
SIM02,"Pozo Santa Cruz II (8"")",Macromedidor en mal estado,6,2022,AM,"1,153,937.00",, FOP , MA 
SIM12,"Mata Maiz Llegando al Tanque 4""",,6,2022,AM,"580,836.00","611,471.00",12.78, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,6,2022,AM,"867,496.00","888,364.00",8.43, MA 
SIM14,"Limpieza Tanque Victoria 8""",Datos Irregulares,6,2022,AM,"19,829.00",,, MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,6,2022,,"1,344,247.00",,, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,6,2022,AM,"823,384.52",,, MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,6,2022,AM,"17,944.57","18,157.91",0.16, MA 
PEND,"Victoria Saliendo 6""",,6,2022,AM,"1,483,910.00","1,522,589.00",18.9, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,6,2022,AM,"256,427.00","260,076.00",, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,6,2022,AM,"453,844.13","464,033.90",, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,6,2022,AM,"443,793.11","453,303.18", -   , MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,6,2022,AM,"172,434.00","183,648.00",6.46, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,6,2022,AM,"13,883.00","23,750.00",2.77, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Estación Fuera de Operación Definitiva,6,2022,,,,, MA 
SRM51,Breña Mora Entrada Planta,,6,2022,AM,"1,306,458.06","1,347,430.30",16.5, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,6,2022,AM,"1,144,498.30","1,176,661.30",19.3, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,6,2022,AM,"85,820.00","96,808.00",16.83, MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",Macromedidor en mal estado,6,2022,AM,"13,386.00","13,386.00",, MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,6,2022,AM,"21,069.00","21,688.00",5.35, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,6,2022,AM,"10,798.00","36,996.00",7.89, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,6,2022,AM,"1,243,436.00","1,294,169.00",18.58, MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,6,2022,AM,"1,395,798.00","1,423,655.00",16.24, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,6,2022,AM,"1,058,230.00","1,080,106.00",12.6, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,6,2022,AM,"3,407,159.00","3,480,027.00",41.35, MA 
