ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
,29 Catarata,,3,2023,AM,"407,893.00","425,290.00",9.83,
BM16,Arrieta,,3,2023,AM,"4,300,138.70","4,374,369.90",22.45, MA 
,La Anexa,,3,2023,AM,"225,907.00","242,735.00",5.74, M1 
BM03,Carlos Steinvorth,,3,2023,AM,"3,911,164.10","3,954,075.40",18.7, MA 
,29 A,,3,2023,AM,"93,097.00","105,640.00",11.52, M1 
BM14,Sacramento,,3,2023,AM,"3,706,561.00","3,766,085.00",18.42, MA 
BM19,"Marin Cañas Electromagnetico 2""",,3,2023,AM,"214,846.00","217,367.00",1.19, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,3,2023,AM,"12,260,986.00","12,404,092.00",47.32, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",Macromedidor en mal estado,3,2023,AM,"6,434,242.00",,, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,3,2023,AM,"7,973,564.00","7,983,840.00",3.04, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,3,2023,AM,"9,636,484.00","9,813,575.00",51.1, MA 
BM10,"El Higueron 8""  (6"")",,3,2023,AM,"7,425,408.00","7,512,705.00",31.74, MA 
BM11,"LA Gemela #1 (6"")",,3,2023,AM,"4,058,658.00","4,067,919.00",2.61, MA 
BM12,"LA Gemela #2  (6"")",,3,2023,AM,"6,977,815.00","7,035,610.00",19.03, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Punto Sin Macromedidor,3,2023,PM,,,18.69, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,3,2023,AM,"191,197.00","267,222.00",25.49, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,3,2023,AM,"2,750,251.00","2,871,884.00",54.7, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,3,2023,PM,"1,846,786.00","1,920,279.00",23.61, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,3,2023,PM,"1,624,109.00","1,691,005.00",23.63, MA 
,Mata Plátano,Macromedidor en mal estado,3,2023,AM,"195,485.20",,,
BM25,"Sacramento 3""",,3,2023,AM,"167,349.00","181,518.00",4.9,
SPM01,"Pozo Miraflores        ( 8"" )",,4,2023,AM,"3,161,204.00","3,266,703.00",52.1, MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,4,2023,AM,"6,043,522.00","6,150,106.00",52.2, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",,4,2023,AM,"7,882.00","13,705.00", FOP , MA 
HM07,Pozo Real Santamaría,,4,2023,AM,"17,882,270.00","18,054,503.00",72.27, MA 
HM17,"Pozo Trebol (8"")",,4,2023,PM,"4,937,723.00","5,101,400.00",68.1, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,4,2023,AM,"946,941.64","972,926.15", FOP , MA 
HM12,"Pozo Granada ( 10"" )",,4,2023,AM,"4,476,690.00","4,561,259.00",32.7, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,4,2023,AM,"156,771.00","156,777.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,4,2023,AM,"135,776.00","135,776.00", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,4,2023,PM,"190,055.00","305,522.25",48.53, MA 
HM22,Medidor para venta de agua Malinches,,4,2023,PM,"1,030.18","1,030.18", FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",,4,2023,PM,"2,112,689.32","2,321,241.62",84.21, M2 
HM06,"Pozo San Vicente        ( 10"" )",,4,2023,PM,"948,896.00","1,207,494.00",105.39, MA 
HM18,"Pozo Claretiano         ( 10"" )",,4,2023,AM,"6,570,095.00","6,690,051.00",48.2, MA 
HM19,"Pozo Boruca (8"")",,4,2023,AM,"590,400.57","648,860.63",24.8, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,4,2023,AM,"1,453,922.00","1,524,217.00",28.95, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",,4,2023,AM,"464,215.00","496,617.00",12.27, MA 
SRM37,Pozo Los Altos II ,,4,2023,AM,"2,101,621.20","2,101,621.20", FOP , MA 
SRM32,"Pozo Matasanos      ( 4"" )",,4,2023,AM,"548,084.00","571,128.00",8.84, MA 
SRM26,Pozo Joya 1,,4,2023,AM,"593,583.83","609,897.55",6.86, MA 
SRM33,Pozo Joya 2,,4,2023,AM,"3,602,619.80","3,666,344.70",25.2, MA 
HM13,"Pozo Joya 3 (8"")",,4,2023,AM,"2,733,122.00","2,820,633.00",35, MA 
SRM30,"Pozo Santiago ( 8"" )",,4,2023,AM,"1,831,723.00","1,908,199.00",30.9, MA 
SRM25,"Pozo Burial       ( 6"" )",,4,2023,AM,"1,867,932.00","1,937,777.00",30.9, MA 
SRM12,"Pozo Highland Ranch (3"")",,4,2023,AM,"705,553.00","745,592.00",10.92, MA 
SIM04,Pozo Santa Cruz I        ,,4,2023,AM,"1,767,575.60","1,790,934.60",23.2, MA 
SIM02,"Pozo Santa Cruz II (8"")",,4,2023,AM,"409,388.81","484,428.00",44.5, MA 
,Pozo Vilaseca,Pozo Apagado,4,2023,,"157,536.78",,,
,Rebombeo Vilaseca  Rebombeo Chizos,Punto Sin Macromedidor,4,2023,,,,,
SIM12,"Mata Maiz Llegando al Tanque 4""",,4,2023,AM,"850,063.00","866,800.00",2.9, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,4,2023,AM,"1,064,961.00","1,080,299.00",4.64, MA 
SIM14,"Limpieza Tanque Victoria 8""",Linea fuera de Operación,4,2023,AM,"19,829.00","19,829.00", FOP , MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,4,2023,AM,"1,734,372.00","1,764,293.00", FOP , MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,4,2023,AM,"885,348.74","905,849.30",17.35, MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,4,2023,AM,"20,202.55","20,395.82",0.22, MA 
PEND,"Victoria Saliendo 6""",,4,2023,AM,"2,027,784.00","2,113,365.60",39.76, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,4,2023,AM,"303,524.00","317,788.00", FOP , MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,4,2023,AM,"581,433.00","587,833.00", FOP , MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,4,2023,AM,"562,648.00","568,758.00", FOP , MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,4,2023,AM,"238,732.00","239,775.00",0.13, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,4,2023,AM,"129,902.00","137,102.00", FOP , MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),,4,2023,,,,, MA 
SRM51,Breña Mora Entrada Planta,,4,2023,AM,"1,689,113.60","1,718,047.50",8.1, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,4,2023,AM,"1,484,535.90","1,510,853.30",21.7, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,4,2023,AM,"214,129.00","219,909.00", FOP , MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",,4,2023,AM,"14,513.00","15,076.00", FOP , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,4,2023,AM,"28,374.00","29,222.00", FOP , MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,4,2023,AM,"354,649.00","391,669.00",8.07, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,4,2023,AM,"1,629,499.00","1,643,493.00", FOP , MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,4,2023,AM,"1,716,794.00","1,777,108.00",33.64, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,4,2023,AM,"1,313,703.00","1,339,166.00",13.05, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,4,2023,AM,"4,159,842.00","4,219,147.00",42.8, MA 
SIM17,Cementerio  Bunt Planet,,4,2023,AM,"965,279.37","986,840.00",9.43, MA 
SIM18,Mas x Menos Bunt Planet,,4,2023,AM,"1,524,583.50","1,563,566.90",17.93, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,4,2023,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),Linea fuera de Operación,4,2023,AM,"659,768.00","664,426.00", FOP , MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,4,2023,AM,"2,806,548.00","2,840,274.00",6.57, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,4,2023,AM,"1,812,136.00","1,842,114.00",7.16, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,4,2023,AM,"405,347.00","438,428.00",13.46, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,4,2023,AM,"3,211,968.20","3,279,449.00",16.09, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",,4,2023,AM,"1,361,329.00","1,474,612.00",41.38, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",,4,2023,AM,"12,091,104.00","12,260,348.00",57.84, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",,4,2023,AM,"579,299.89","579,299.89", FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,4,2023,AM,"1,114,692.20","1,147,873.00",15.2, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Estación Fuera de Operación Definitiva,4,2023,,,,, MA 
,Iris Hernández,,4,2023,AM,"622,609.00","634,936.00",3.82, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,4,2023,,,,, M2  
BM09,Botho Steinvorth,,4,2023,AM,"3,553,045.00","3,575,850.70",2.74, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,4,2023,AM,"2,229,779.00","2,253,842.00",8.95, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",,4,2023,AM,"6,274,006.80","6,383,369.80",40.9, MA 
,29 Catarata,,4,2023,AM,"425,290.00","438,116.00",3.94,
BM16,Arrieta,,4,2023,AM,"4,374,369.90","4,429,334.50",36.84, MA 
,La Anexa,,4,2023,AM,"242,735.00","256,562.00",6.14, M1 
BM03,Carlos Steinvorth,,4,2023,AM,"3,954,075.40","3,985,282.00",12.88, MA 
,29 A,,4,2023,AM,"105,640.00","111,796.00",5.95, M1 
BM14,Sacramento,,4,2023,AM,"3,766,085.00","3,807,565.00",15.24, MA 
BM19,"Marin Cañas Electromagnetico 2""",,4,2023,AM,"217,367.00","219,961.00",1.2, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,4,2023,AM,"12,404,092.00","12,478,755.00",31.87, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,4,2023,AM,,"6,537,033.00",19.39, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,4,2023,AM,"7,983,840.00","7,983,856.00",15.39, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,4,2023,AM,"9,813,575.00","9,937,869.00",43.2, MA 
BM10,"El Higueron 8""  (6"")",,4,2023,AM,"7,512,705.00","7,587,846.00",28.31, MA 
BM11,"LA Gemela #1 (6"")",,4,2023,AM,"4,067,919.00","4,074,696.00",2.83, MA 
BM12,"LA Gemela #2  (6"")",,4,2023,AM,"7,035,610.00","7,082,951.00",18.39, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Punto Sin Macromedidor,4,2023,PM,,,10.13, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,4,2023,AM,"267,222.00","335,070.00",28.89, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,4,2023,AM,"2,871,884.00","2,966,917.00",30, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,4,2023,AM,"1,920,279.00","1,982,957.00",21.79, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,4,2023,AM,"1,691,005.00","1,748,302.00",21.66, MA 
SR54,Mata Plátano,,4,2023,AM,,"217,132.28",2.73,
BM25,"Sacramento 3""",,4,2023,AM,"181,518.00","193,445.00",5.49,
SPM01,"Pozo Miraflores        ( 8"" )",,5,2023,AM,"3,266,703.00","3,339,027.00",54, MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,5,2023,PM,"6,150,106.00","6,283,354.00",51.9, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",,5,2023,PM,"13,705.00","13,705.00", FOP , MA 
HM07,Pozo Real Santamaría,,5,2023,PM,"18,054,503.00","18,233,189.00",68.86, MA 
HM17,"Pozo Trebol (8"")",,5,2023,PM,"5,101,400.00","5,284,488.00",70.2, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,5,2023,PM,"972,926.15","1,007,272.00",20.21, MA 
HM12,"Pozo Granada ( 10"" )",,5,2023,PM,"4,561,259.00","4,644,774.00",32.5, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,5,2023,PM,"156,777.00","156,770.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,5,2023,PM,"135,776.00","135,776.00", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,5,2023,PM,"305,522.25","425,922.01", FOP , MA 
HM22,Medidor para venta de agua Malinches,,5,2023,PM,"1,030.18","1,000.90", FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",,5,2023,PM,"2,321,241.62","2,539,062.39",83.8, M2 
HM06,"Pozo San Vicente        ( 10"" )",,5,2023,PM,"1,207,494.00","1,478,142.00",104.75, MA 
HM18,"Pozo Claretiano         ( 10"" )",,5,2023,PM,"6,690,051.00","6,811,406.00",46.2, MA 
HM19,"Pozo Boruca (8"")",,5,2023,AM,"648,860.63","710,308.55",23.6, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,5,2023,AM,"1,524,217.00","1,597,478.00",29.11, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",,5,2023,AM,"496,617.00","523,503.00",8.68, MA 
SRM37,Pozo Los Altos II ,,5,2023,AM,"2,101,621.20","2,101,621.20", FOP , MA 
SRM32,"Pozo Matasanos      ( 4"" )",,5,2023,AM,"571,128.00",,, MA 
SRM26,Pozo Joya 1,,5,2023,AM,"609,897.55","625,953.95",5.97, MA 
SRM33,Pozo Joya 2,,5,2023,AM,"3,666,344.70","3,731,604.70",24.73, MA 
HM13,"Pozo Joya 3 (8"")",,5,2023,PM,"2,820,633.00","2,910,980.00",35.1, MA 
SRM30,"Pozo Santiago ( 8"" )",,5,2023,AM,"1,908,199.00","1,989,911.10",31, MA 
SRM25,"Pozo Burial       ( 6"" )",,5,2023,AM,"1,937,777.00","2,015,721.00",31.04, MA 
SRM12,"Pozo Highland Ranch (3"")",,5,2023,AM,"745,592.00","846,141.00",10.87, MA 
SIM04,Pozo Santa Cruz I        ,,5,2023,PM,"1,790,934.60","1,815,845.70",22.66, MA 
SIM02,"Pozo Santa Cruz II (8"")",,5,2023,PM,"484,428.00","586,364.47",44.77, MA 
,Pozo Vilaseca,,5,2023,PM,,"253,744.24",55.18, MA 
,Rebombeo Vilaseca  Rebombeo Chizos,Punto Sin Macromedidor,5,2023,,,,,
SIM12,"Mata Maiz Llegando al Tanque 4""",,5,2023,AM,"866,800.00","872,458.00",1.8, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,5,2023,AM,"1,080,299.00","1,090,226.00",3.42, MA 
SIM14,"Limpieza Tanque Victoria 8""",Linea fuera de Operación,5,2023,AM,"19,829.00","19,829.00", FOP , MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,5,2023,AM,"1,764,293.00","1,779,540.00", Sin Caudal , MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,5,2023,AM,"905,849.30","944,901.40", Sin Caudal , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,5,2023,AM,"20,395.82","20,611.28", -   , MA 
PEND,"Victoria Saliendo 6""",,5,2023,AM,"2,113,365.60","2,206,113.00",39.59, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,5,2023,AM,"317,788.00","336,839.00",15.84, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,5,2023,AM,"587,833.00","592,726.00",0.42, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,5,2023,AM,"568,758.00","573,521.00",0.4, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,5,2023,AM,"239,775.00","239,908.00", -   , MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,5,2023,AM,"137,102.00","138,653.00", -   , MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),,5,2023,,,,, MA 
SRM51,Breña Mora Entrada Planta,,5,2023,AM,"1,718,047.50","1,735,401.30",5.1, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,5,2023,AM,"1,510,853.30","1,527,833.50", FOP , MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,5,2023,AM,"219,909.00","221,069.00", FOP , MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",,5,2023,AM,"15,076.00","17,459.00", FOP , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,5,2023,AM,"29,222.00","30,003.00", FOP , MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,5,2023,AM,"391,669.00","428,355.00",12.37, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,5,2023,AM,"1,643,493.00","1,644,114.00", FOP , MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,5,2023,AM,"1,777,108.00","1,843,074.00",28.74, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,5,2023,AM,"1,339,166.00","1,365,596.00",16.52, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,5,2023,AM,"4,219,147.00","4,279,939.00",30.25, MA 
SIM17,Cementerio  Bunt Planet,,5,2023,AM,"986,840.00","1,008,918.60",9.31, MA 
SIM18,Mas x Menos Bunt Planet,,5,2023,AM,"1,563,566.90","1,604,222.40",17.51, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,5,2023,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),Linea fuera de Operación,5,2023,AM,"664,426.00","668,144.00", Sin Caudal , MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,5,2023,AM,"2,840,274.00","2,844,728.00", FOP , MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,5,2023,AM,"1,842,114.00","1,845,918.00",0.6, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,5,2023,AM,"438,428.00","469,049.00",10.04, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,5,2023,AM,"3,279,449.00","3,318,846.00",12.42, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",,5,2023,AM,"1,474,612.00","1,579,892.00",34.04, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",,5,2023,AM,"12,260,348.00","12,404,946.00",47.55, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",,5,2023,AM,"579,299.89",, FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,5,2023,AM,"1,147,873.00","1,841,285.00",14.91, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Estación Fuera de Operación Definitiva,5,2023,,,,, MA 
,Iris Hernández,,5,2023,AM,"634,936.00","642,614.00",2.77, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,5,2023,,,,, M2  
BM09,Botho Steinvorth,,5,2023,AM,"3,575,850.70","3,578,048.40",4.66, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,5,2023,AM,"2,253,842.00","2,274,263.00",4.45, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",,5,2023,AM,"6,383,369.80","6,498,434.50",19.59, MA 
,29 Catarata,,5,2023,AM,"438,116.00","447,988.00",5.35,
BM16,Arrieta,,5,2023,AM,"4,429,334.50","4,482,103.80",25.52, MA 
,La Anexa,,5,2023,AM,"256,562.00","271,227.00",6.38, M1 
BM03,Carlos Steinvorth,,5,2023,AM,"3,985,282.00","4,013,315.20",10.26, MA 
,29 A,,5,2023,AM,"111,796.00","111,882.00",4.75, M1 
BM14,Sacramento,,5,2023,AM,"3,807,565.00","3,834,990.00",11.45, MA 
BM19,"Marin Cañas Electromagnetico 2""",,5,2023,AM,"219,961.00","222,181.00",0.88, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,5,2023,AM,"12,478,755.00","12,534,738.00",21.2, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,5,2023,AM,"6,537,033.00","6,587,759.00",11.46, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,5,2023,AM,"7,983,856.00","7,983,899.00",24.56, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,5,2023,AM,"9,937,869.00","10,012,882.00",24.01, MA 
BM10,"El Higueron 8""  (6"")",,5,2023,AM,"7,587,846.00","7,662,011.00",26.9, MA 
BM11,"LA Gemela #1 (6"")",,5,2023,AM,"4,074,696.00","4,083,030.00",3.4, MA 
BM12,"LA Gemela #2  (6"")",,5,2023,AM,"7,082,951.00","7,132,270.00",20.3, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Punto Sin Macromedidor,5,2023,PM,,,5.26, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,5,2023,AM,"335,070.00","411,444.00",28.06, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,5,2023,AM,"2,966,917.00","3,044,328.00",28.4, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,5,2023,AM,"1,982,957.00","2,038,300.00",23.9, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,5,2023,AM,"1,748,302.00","1,798,743.00",22.59, MA 
SR54,Mata Plátano,,5,2023,AM,"217,132.28","223,571.30",6.71, MA 
BM25,"Sacramento 3""",,5,2023,PM,"193,445.00","207,292.00",5.18,
SPM01,"Pozo Miraflores        ( 8"" )",,6,2023,PM,"3,339,027.00","3,482,162.00",56, MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,6,2023,AM,"6,283,354.00","6,422,149.00",52, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",,6,2023,AM,"13,705.00","13,710.00", FOP , MA 
HM07,Pozo Real Santamaría,,6,2023,AM,"18,233,189.00","18,420,088.00",72.57, MA 
HM17,"Pozo Trebol (8"")",,6,2023,AM,"5,284,488.00","5,468,117.00",70.4, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,6,2023,AM,"1,007,272.00","1,034,313.10", FOP , MA 
HM12,"Pozo Granada ( 10"" )",,6,2023,AM,"4,644,774.00","4,732,675.00",31.4, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,6,2023,AM,"156,770.00","156,777.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,6,2023,AM,"135,776.00","135,777.00", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,6,2023,AM,"425,922.01","552,808.50",47.5, MA 
HM22,Medidor para venta de agua Malinches,,6,2023,AM,"1,000.90","1,030.18",, MA 
HM14,"Pozo Malinches  II  ( 6"" )",,6,2023,AM,"2,539,062.39","2,766,972.25",83.75, M2 
HM06,"Pozo San Vicente        ( 10"" )",,6,2023,AM,"1,478,142.00","1,767,573.00",106.3, MA 
HM18,"Pozo Claretiano         ( 10"" )",,6,2023,AM,"6,811,406.00","6,937,389.00",46.8, MA 
HM19,"Pozo Boruca (8"")",Macromedidor en mal estado,6,2023,PM,"710,308.55", FOP ,22.82, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,6,2023,AM,"1,597,478.00","1,673,814.00",28.88, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",,6,2023,PM,"523,503.00","544,579.00",9.87, MA 
SRM37,Pozo Los Altos II ,,6,2023,PM,"21,016,212.00","21,600,077.00",29.11, MA 
SRM32,"Pozo Matasanos      ( 4"" )",,6,2023,PM,"574,205.00","591,199.00",7.76, MA 
SRM26,Pozo Joya 1,,6,2023,PM,"625,953.95","640,082.31", FOP , MA 
SRM33,Pozo Joya 2,,6,2023,PM,"3,731,604.70","3,792,630.00", FOP , MA 
HM13,"Pozo Joya 3 (8"")",,6,2023,PM,"2,910,980.00","2,997,063.00", FOP , MA 
SRM30,"Pozo Santiago ( 8"" )",,6,2023,PM,"1,989,911.10","2,054,069.00",30.3, MA 
SRM25,"Pozo Burial       ( 6"" )",,6,2023,PM,"2,015,721.00","2,096,373.00",31.43, MA 
SRM12,"Pozo Highland Ranch (3"")",Macromedidor en mal estado,6,2023,AM,"846,141.00", FOP ,11.38, MA 
SIM04,Pozo Santa Cruz I        ,,6,2023,AM,"1,815,845.70","1,826,277.80",22.33, MA 
SIM02,"Pozo Santa Cruz II (8"")",,6,2023,AM,"586,364.47","660,157.05",45.88, MA 
,Pozo Vilaseca,,6,2023,AM,"253,744.24","295,550.67", FOP , MA 
,Rebombeo Vilaseca  Rebombeo Chizos,Punto Sin Macromedidor,6,2023,,,,,
SIM12,"Mata Maiz Llegando al Tanque 4""",,6,2023,AM,"872,458.00","883,091.00",5.05, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,6,2023,AM,"1,090,226.00","1,100,050.00",4.28, MA 
SIM14,"Limpieza Tanque Victoria 8""",,6,2023,AM,"19,829.00","19,829.00", FOP , MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,6,2023,AM,"1,779,540.00","1,799,537.00", FOP , MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,6,2023,AM,"944,901.40","978,782.70",20.43, MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,6,2023,AM,"20,611.28","20,793.33", FOP , MA 
PEND,"Victoria Saliendo 6""",,6,2023,AM,"2,206,113.00","2,298,303.00",41.02, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,6,2023,AM,"336,839.00","645,128.00", FOP , MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,6,2023,AM,"592,726.00","604,288.00",8.89, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,6,2023,AM,"573,521.00","584,390.00",8.45, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,6,2023,AM,"239,908.00","242,261.00",0.97, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,6,2023,AM,"138,653.00","152,323.00",9.23, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Linea fuera de Operación,6,2023,AM,,"225,923.00", FOP , MA 
SRM51,Breña Mora Entrada Planta,,6,2023,AM,"1,735,401.30","1,766,082.10",13.5, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,6,2023,AM,"1,527,833.50","1,552,954.70",21.8, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,6,2023,AM,"221,069.00","225,923.00", FOP , MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",,6,2023,AM,"17,459.00","18,049.00", FOP , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,6,2023,AM,"30,003.00","30,664.00",0.49, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,6,2023,AM,"428,355.00","464,679.00",4.91, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,6,2023,AM,"1,644,114.00","1,676,786.00", FOP , MA 
